"","blueWardsPlaced","blueWardsDestroyed","blueFirstBlood","blueKills","blueDeaths","blueAssists","blueEliteMonsters","blueDragons","blueHeralds","blueTowersDestroyed","blueAvgLevel","blueTotalMinionsKilled","blueTotalJungleMinionsKilled","blueWins","blueGoldDiff","blueExperienceDiff"
"1",13,-4,1,3,-3,3,0,0,0,0,-0.2,-2,-19,0,643,-8
"2",0,0,-1,0,0,3,-2,-1,-1,-1,-0.2,-66,-9,0,-2908,-1173
"3",0,-3,-1,-4,4,-10,1,1,0,0,-0.399999999999999,-17,18,0,-1172,-1033
"4",28,-1,-1,-1,1,-5,1,0,1,0,0,-34,8,0,-1321,-7
"5",58,2,-1,0,0,-1,-1,-1,0,0,0,-15,-10,0,-1004,230
"6",-18,-5,-1,2,-2,4,1,1,0,0,0,4,-17,1,698,101
"7",-39,2,1,1,-1,-2,1,1,0,0,0.399999999999999,61,18,1,2411,1563
"8",1,2,-1,-8,8,-8,-1,-1,0,0,-0.199999999999999,52,-6,0,-2615,-800
"9",1,1,-1,0,0,3,-2,-1,-1,0,0,-51,8,0,-1979,-771
"10",-3,-1,1,-1,1,1,1,1,0,0,0,-27,-4,1,-1548,-1574
"11",5,1,1,0,0,1,-1,-1,0,0,-0.600000000000001,15,-23,0,331,-1585
"12",16,1,1,0,0,-2,1,0,1,0,0,-31,-12,0,-1505,-635
"13",6,0,1,6,-6,10,1,1,0,0,0.600000000000001,-2,3,1,3274,1659
"14",-6,0,-1,-5,5,-10,1,0,1,0,-0.600000000000001,-19,1,0,-3414,-1141
"15",-87,2,1,0,0,1,0,0,0,0,-0.2,-18,3,1,-470,-187
"16",-1,-2,-1,-4,4,-10,0,0,0,0,-0.4,-28,2,0,-1996,-1804
"17",1,-1,1,8,-8,6,-1,-1,0,0,0.8,53,-8,1,5228,3378
"18",26,-11,-1,-4,4,-3,1,0,1,0,0,-15,1,0,-1975,-1345
"19",2,1,1,1,-1,8,-2,-1,-1,0,0.2,-15,-3,1,882,512
"20",-4,2,-1,-4,4,-4,0,0,0,0,-0.4,-31,-8,0,-3155,-2773
"21",2,1,1,5,-5,11,1,1,0,0,0.2,-11,-3,1,2526,1625
"22",-2,-2,-1,-9,9,-9,-1,-1,0,0,-0.4,-6,-2,0,-2835,-2821
"23",1,-1,-1,-2,2,-7,-1,-1,0,0,0,7,-4,0,-1254,-567
"24",63,1,-1,1,-1,1,2,1,1,0,-0.2,18,3,0,406,1283
"25",15,0,-1,-3,3,-3,0,0,0,0,0.2,11,9,1,-1020,493
"26",-2,-1,-1,-4,4,-9,-1,-1,0,0,-0.8,-17,8,0,-2472,-1067
"27",8,-2,-1,2,-2,6,1,1,0,0,0.2,-24,8,1,1260,-55
